koi_period,koi_duration,koi_depth,koi_prad,koi_snr,koi_disposition,mission
41.688644,25.013186399999995,1000.0,2.35545351,10.0,CONFIRMED,Transit
41.6855,25.0113,1000.0,2.23,10.0,CONFIRMED,Transit
41.6855,25.0113,1000.0,2.57807,10.0,CONFIRMED,Transit
2.30183,1.381098,1000.0,1.12,10.0,CANDIDATE,Transit
2.302368,1.3814208000000001,1000.0,1.31258765,10.0,CANDIDATE,Transit
1.1947488,0.71684928,1000.0,4.19,10.0,CANDIDATE,Transit
6.178369,3.7070214000000004,1000.0,9.91257877,10.0,CANDIDATE,Transit
6.17887,3.7073220000000005,1000.0,8.84,10.0,CANDIDATE,Transit
1.17589,0.7055340000000001,1000.0,0.86,10.0,CANDIDATE,Transit
10.6966,6.417960000000001,1000.0,1.45,10.0,CANDIDATE,Transit
1.5374115,0.9224469,1000.0,45.0,10.0,CANDIDATE,Transit
2.71189,1.627134,1000.0,4.34,10.0,CANDIDATE,Transit
18.10549,10.863294,1000.0,2.09985108,10.0,CANDIDATE,Transit
6.7987,4.07922,1000.0,1.047,10.0,CONFIRMED,Transit
79.9999,47.99994,1000.0,10.2,10.0,CANDIDATE,Transit
17.77297,10.663782000000001,1000.0,26.44,10.0,CANDIDATE,Transit
0.99656225,0.59793735,1000.0,32.8,10.0,CANDIDATE,Transit
14.912381,8.9474286,1000.0,3.55,10.0,CANDIDATE,Transit
14.9139,8.94834,1000.0,3.24,10.0,CANDIDATE,Transit
0.57303573,0.343821438,1000.0,3.35,10.0,CANDIDATE,Transit
28.1656,16.89936,1000.0,1.87,10.0,CONFIRMED,Transit
28.1696,16.90176,1000.0,2.2,10.0,CONFIRMED,Transit
7.90417,4.742502,1000.0,2.06,10.0,CANDIDATE,Transit
7.9069606,4.74417636,1000.0,3.02,10.0,CANDIDATE,Transit
1.0829614,0.6497768400000001,1000.0,1.56,10.0,CANDIDATE,Transit
0.905655,0.543393,1000.0,1.57,10.0,CANDIDATE,Transit
0.90552205,0.54331323,1000.0,1.52,10.0,CANDIDATE,Transit
2.7541129,1.65246774,1000.0,4.87,10.0,CANDIDATE,Transit
2.75421,1.6525260000000002,1000.0,8.4,10.0,CANDIDATE,Transit
2.75391,1.652346,1000.0,3.78,10.0,CANDIDATE,Transit
50.285869,30.171521400000003,1000.0,3.47,10.0,FALSE POSITIVE,Transit
50.27762,30.166572000000002,1000.0,209.52,10.0,FALSE POSITIVE,Transit
10.50439,6.302634000000001,1000.0,1.75,10.0,CANDIDATE,Transit
1.684208,1.0105248,1000.0,5.51,10.0,CANDIDATE,Transit
0.2122013,0.12732078000000002,1000.0,0.519,10.0,CANDIDATE,Transit
0.21219899,0.127319394,1000.0,1.05,10.0,CANDIDATE,Transit
0.212194,0.1273164,1000.0,0.77,10.0,CANDIDATE,Transit
