koi_period,koi_duration,koi_depth,koi_prad,koi_snr,koi_disposition
9.48803557,2.9575,615.8,2.26,35.8,CONFIRMED
54.4183827,4.507,874.8,2.83,25.8,CONFIRMED
2.525591777,1.6545,603.3,2.75,40.9,CONFIRMED
11.09432054,4.5945,1517.5,3.9,66.5,CONFIRMED
4.13443512,3.1402,686.0,2.77,40.2,CONFIRMED
2.56658897,2.429,226.5,1.59,15.0,CONFIRMED
7.36178958,5.022,233.7,39.21,47.7,FALSE POSITIVE
16.06864674,3.5347,4914.3,5.76,161.9,CONFIRMED
3.709214104,2.6302,131.1,1.16,50.6,CONFIRMED
9.27358173,3.2875,1288.3,2.47,87.2,CONFIRMED
6.02930329,1.5821,1912.7,2.85,65.4,CONFIRMED
2.696370652,3.6129,397.9,1.58,48.2,FALSE POSITIVE
5.349553819,3.0278,831.0,2.55,60.6,CONFIRMED
3.94105221,2.5984,363.3,1.7,28.9,CONFIRMED
8.10904807,3.596,217.4,1.3,14.1,CONFIRMED
21.67699193,3.4555,857.2,2.95,34.3,CONFIRMED
4.99677968,2.1717,934.7,2.78,28.2,CONFIRMED
4.280963604,2.875,750.8,2.3,61.8,CONFIRMED
1.50635409,1.5155,2211.7,4.53,181.1,FALSE POSITIVE
61.2563628,7.633,5123.3,39.87,85.3,FALSE POSITIVE
38.3775486,5.588,724.2,2.82,34.7,CONFIRMED
41.19725502,4.6297,2213.9,3.86,51.2,CONFIRMED
6.252962249,2.5819,1036.9,2.65,47.1,CONFIRMED
16.01308419,3.2554,1121.9,3.1,33.2,CONFIRMED
32.62876672,4.7971,1804.8,3.36,80.0,CONFIRMED
91.7732862,6.473,652.0,2.12,19.1,CONFIRMED
2.701287801,3.3827,860.4,6.54,48.3,FALSE POSITIVE
4.49876511,3.7362,460.0,2.1,29.5,CONFIRMED
5.412203927,2.9472,601.6,2.94,166.7,CONFIRMED
41.43958662,10.5989,2793.1,5.5,141.1,CONFIRMED
8.35389523,2.2514,1041.6,2.52,43.4,CONFIRMED
4.125543472,3.1744,1487.3,4.43,128.6,CONFIRMED
3.689920099,2.6557,426.7,1.89,35.6,CONFIRMED
4.431238488,3.15,1010.9,3.25,71.1,CONFIRMED
11.37936986,2.6255,1023.5,3.95,37.9,CONFIRMED
26.39432897,3.573,1510.9,3.07,48.2,CONFIRMED
13.57078281,3.3539,511.7,2.64,88.4,CONFIRMED
7.12594387,3.0014,192.4,1.79,47.1,CONFIRMED
16.38489988,3.0249,1127.1,2.0,28.9,CONFIRMED
7.8774163,2.0805,1306.1,2.16,38.7,CONFIRMED
36.4454001,4.007,1122.3,1.99,21.7,CONFIRMED
2.243380573,1.1196,821.7,1.99,38.9,CONFIRMED
2.337437946,1.9982,971.2,2.34,82.4,CONFIRMED
7.2406612,0.558,556.4,19.45,13.7,CANDIDATE
3.43591631,3.133,23.2,0.55,8.7,CANDIDATE
11.59822233,2.5237,2804.5,2.65,71.0,CONFIRMED
6.575315881,4.3084,2793.3,5.31,221.1,CONFIRMED
19.27153892,2.7594,1219.8,1.93,37.1,CONFIRMED
10.06524317,1.369,1053.3,1.91,30.3,CONFIRMED
12.3935651,3.8896,916.6,2.66,35.8,CONFIRMED
43.84439721,6.802,615.2,2.87,83.7,CONFIRMED
3.341913228,3.813,725.3,21.55,39.0,FALSE POSITIVE
1.626630225,2.1145,1620.6,32.43,103.6,FALSE POSITIVE
2.711504086,3.0099,837.5,3.12,64.5,CONFIRMED
7.21203748,4.0491,950.4,3.32,51.5,CONFIRMED
14.1798187,2.505,459.9,1.88,11.2,FALSE POSITIVE
8.47237911,2.7245,1123.5,2.59,47.6,CONFIRMED
60.4189369,5.039,931.3,2.36,20.1,CONFIRMED
1.433769925,1.8868,1976.3,46.58,112.6,FALSE POSITIVE
10.31872301,3.836,871.7,28.59,38.2,FALSE POSITIVE
2.539183147,2.4282,382.1,2.06,38.9,CONFIRMED
6.770300385,2.0844,1304.0,2.77,50.8,CONFIRMED
20.06036336,3.3203,1494.7,1.96,35.2,CONFIRMED
46.1842039,4.758,1394.7,1.83,26.0,CONFIRMED
23.9800854,5.351,104.0,1.31,17.1,CONFIRMED
7.82502168,2.186,520.8,1.2,15.9,CONFIRMED
22.36646466,5.228,986.8,2.32,32.1,CONFIRMED
7.544039,6.222,322.6,17.47,14.2,FALSE POSITIVE
9.02930689,3.1449,1019.8,2.57,53.9,CONFIRMED
6.164876,3.262,55.8,0.79,14.4,CONFIRMED
29.1598615,4.803,488.0,1.91,11.6,CONFIRMED
1.540397253,2.1541,816.1,25.69,38.8,FALSE POSITIVE
2.99025443,5.414,589.2,1.7,48.5,FALSE POSITIVE
4.783002698,2.335,1008.7,2.5,70.6,CONFIRMED
20.50588921,4.0595,2105.5,3.41,78.5,CONFIRMED
3.340218842,1.9104,1632.6,2.03,71.6,CONFIRMED
2.507089906,2.0067,1339.2,30.26,64.9,FALSE POSITIVE
18.64932728,4.4056,893.6,3.12,46.1,CONFIRMED
4.90144976,4.1654,140.7,1.7,50.6,CONFIRMED
9.75192101,4.793,418.0,2.76,28.5,CONFIRMED
38.5576546,5.794,993.0,4.02,39.7,CONFIRMED
34.84398644,2.9315,4523.6,7.61,76.8,CANDIDATE
7.748094239,3.5957,2472.1,5.52,113.2,CONFIRMED
23.96793669,3.827,1182.3,1.8,27.5,CONFIRMED
8.29561738,1.3421,824.3,1.82,17.9,CONFIRMED
8.11437482,2.2736,1558.0,2.1,56.4,CONFIRMED
3.747838198,5.0642,616.0,13.65,138.2,FALSE POSITIVE
14.74914825,6.0995,430.2,2.89,107.4,CONFIRMED
21.81295996,4.3791,1175.4,3.38,37.8,CONFIRMED
8.10363271,3.161,887.9,2.11,39.3,CONFIRMED
4.71510843,2.506,417.5,1.46,21.3,CONFIRMED
6.365839713,2.9721,780.7,2.44,70.8,CONFIRMED
5.97581754,3.065,962.4,3.86,50.3,FALSE POSITIVE
2.446737317,4.7211,1177.9,26.25,110.2,FALSE POSITIVE
15.33528675,3.897,3081.4,5.0,86.6,CONFIRMED
7.95825328,4.377,50.0,1.06,14.7,CONFIRMED
31.33046135,5.176,5073.8,6.5,117.2,CONFIRMED
3.951405455,2.1862,2453.9,31.44,117.2,FALSE POSITIVE
23.65369415,8.2183,3341.8,7.89,266.3,CONFIRMED
13.23352214,6.7372,504.6,3.06,49.1,CONFIRMED
6.15560285,4.9843,285.0,2.32,35.1,CONFIRMED
2.090811305,3.388,115.9,1.62,19.9,CONFIRMED
3.180027898,3.5797,120.3,1.53,50.4,CONFIRMED
50.4467417,7.159,370.3,2.67,19.4,CONFIRMED
11.76307164,2.9076,1037.3,2.35,48.9,CONFIRMED
56.2279271,3.57,862.7,2.37,20.9,CONFIRMED
2.384052875,3.0918,1268.1,17.06,50.5,FALSE POSITIVE
7.953547,2.6312,875.4,2.25,38.4,CONFIRMED
4.14451656,2.3421,391.8,1.48,22.8,CONFIRMED
4.583520948,2.7055,3812.1,5.39,99.5,CONFIRMED
3.76181843,3.5176,510.6,2.66,35.9,CONFIRMED
8.20396958,2.9667,1024.4,3.01,54.4,CONFIRMED
14.49645186,4.016,647.5,3.01,25.7,CONFIRMED
6.54626149,2.75,655.9,2.19,24.8,CONFIRMED
12.71809866,3.0957,1149.4,2.31,52.7,CONFIRMED
36.06588163,4.3246,1563.8,2.64,51.7,CONFIRMED
4.190425659,2.8589,2877.4,6.21,240.6,CONFIRMED
3.709870784,3.0694,2020.3,4.35,116.1,CONFIRMED
16.3297527,6.271,1187.5,3.75,74.6,CONFIRMED
80.8723469,11.195,3604.6,7.59,160.9,CONFIRMED
3.166465862,2.9381,4357.2,26.82,122.1,FALSE POSITIVE
24.99324319,5.9409,269.6,2.29,62.0,CONFIRMED
10.35533116,3.1775,750.6,2.47,49.2,CONFIRMED
16.08518937,3.984,1442.4,3.68,62.6,CONFIRMED
7.49018305,2.7297,1123.6,2.56,53.0,CONFIRMED
36.2761238,4.7865,1572.6,3.03,45.5,CONFIRMED
17.46087931,2.2641,812.4,2.32,22.6,CONFIRMED
56.0560754,4.685,1626.0,1.94,27.4,CONFIRMED
5.715425977,2.5242,908.1,2.47,59.4,CONFIRMED
20.0261412,1.611,421.2,2.28,10.7,CONFIRMED
10.44331991,2.743,1159.8,2.66,51.7,FALSE POSITIVE
2.237489571,1.8119,315.8,1.41,30.7,CONFIRMED
