koi_period,koi_duration,koi_depth,koi_prad,koi_snr,koi_disposition,mission
2.1713484,2.0172196,656.8860989,5.8181633,10.0,FALSE POSITIVE,TESS
1.9316462,3.166,1286.0,11.2154,10.0,CONFIRMED,TESS
1.8675574,1.408,1500.0,23.7529,10.0,FALSE POSITIVE,TESS
3.5730141,3.37,755.0,11.3113,10.0,FALSE POSITIVE,TESS
4.5505945,2.654,3731.0,7.10841,10.0,FALSE POSITIVE,TESS
2.5047918,4.3797563,2270.5402194,8.6950898,10.0,FALSE POSITIVE,TESS
6.9989206,3.953,2840.0,14.7752,10.0,CONFIRMED,TESS
2.0483755,2.767,483.0,3.19621,10.0,FALSE POSITIVE,TESS
1.4303699,1.6165994,18960.7122944,13.1874503,10.0,CANDIDATE,TESS
0.6808702,2.4634563,1507.8006889,5.9115908,10.0,FALSE POSITIVE,TESS
2.4704981,2.191,250.0,1.44656,10.0,CONFIRMED,TESS
0.884182,1.621,1890.0,24.8132,10.0,CANDIDATE,TESS
1.3730466,2.5708515,1301.5065338,42.1479417,10.0,FALSE POSITIVE,TESS
12.6889415,7.9201001,3232.8527885,14.0608342,10.0,FALSE POSITIVE,TESS
1.10422,2.37,14177.7,21.0448,10.0,FALSE POSITIVE,TESS
4.95912,2.509,7440.0,22.9123,10.0,FALSE POSITIVE,TESS
5.2341008,3.7078139,20796.9416293,24.2931408,10.0,CONFIRMED,TESS
4.4119378,3.65,15062.0,15.4706,10.0,CANDIDATE,TESS
1.90879,1.909,618.482,3.34688,10.0,FALSE POSITIVE,TESS
1.3214483,3.435,2180.0,21.8839,10.0,FALSE POSITIVE,TESS
18.0157,2.524,610.0,21.644,10.0,FALSE POSITIVE,TESS
14.2628757,6.9350494,913.2067174,2.4765813,10.0,FALSE POSITIVE,TESS
3.2834565,1.537,1558.0,2.87648,10.0,CONFIRMED,TESS
11.02875,2.715,1694.0,2.76586,10.0,CONFIRMED,TESS
5.0113292,1.024,1210.0,2.52314,10.0,CONFIRMED,TESS
1.01606,2.843,240.0,1.20704,10.0,FALSE POSITIVE,TESS
3.547854,3.494333,10424.3718,14.581841,10.0,CANDIDATE,TESS
12.1246519,4.612,7279.0,17.6729,10.0,FALSE POSITIVE,TESS
5.652623,3.434,1250.0,8.94354,10.0,FALSE POSITIVE,TESS
5.6643704,3.8087395,3491.8232968,14.7738943,10.0,CONFIRMED,TESS
29.0160175,5.345,1389.0,6.77406,10.0,FALSE POSITIVE,TESS
3.6404389,2.5339234,476.3077321,3.7025342,10.0,FALSE POSITIVE,TESS
6.0744477,2.4954821,5982.5212406,30.9493217,10.0,CONFIRMED,TESS
3.7795212,2.952,2761.0,5.98375,10.0,CONFIRMED,TESS
1.2025238,1.991,390.0,6.31106,10.0,FALSE POSITIVE,TESS
3.2235985,2.159,680.0,5.51341,10.0,FALSE POSITIVE,TESS
4.0872956,5.586113,3572.1712499,13.6237732,10.0,CANDIDATE,TESS
2.55555,1.566,340.0,11.5901,10.0,FALSE POSITIVE,TESS
8.30792,3.228,8350.0,43.1068,10.0,FALSE POSITIVE,TESS
0.758082,1.8184632,583.93181,10.1273702,10.0,CONFIRMED,TESS
1.4415577,2.349,507.0,3.61078,10.0,FALSE POSITIVE,TESS
3.7039994,4.277,7590.0,17.57,10.0,FALSE POSITIVE,TESS
1.3042553,1.706,914.0,9.36472,10.0,FALSE POSITIVE,TESS
0.62627,0.666,1880.0,5.72162,10.0,FALSE POSITIVE,TESS
0.30412,0.748,1330.0,10.417,10.0,FALSE POSITIVE,TESS
2.1805277,2.969175,16340.1353205,16.808853,10.0,CANDIDATE,TESS
2.1846669,2.86528,11708.0228549,13.7028527,10.0,CANDIDATE,TESS
3.7354838,4.142,17030.0,21.2315,10.0,CANDIDATE,TESS
9.139804,3.0912936,358.4157801,3.0629855,10.0,CONFIRMED,TESS
5.742625,2.860293,1105.760867,13.088532,10.0,FALSE POSITIVE,TESS
15.5077855,4.565,513.0,2.43432,10.0,CONFIRMED,TESS
17.4713078,4.4284819,1199.7541483,3.5766828,10.0,CONFIRMED,TESS
5.3079507,3.2158594,391.3830934,3.0486928,10.0,CONFIRMED,TESS
51.1701501,6.6641048,851.4547808,2.9366826,10.0,CONFIRMED,TESS
11.1296441,7.0473822,951.6169809,12.8402271,10.0,CONFIRMED,TESS
9.4496506,2.021,19750.0,17.0216,10.0,CONFIRMED,TESS
2.8493825,3.567,8049.0,16.3869,10.0,CANDIDATE,TESS
2.0685633,0.373,502.0,3.89739,10.0,CANDIDATE,TESS
0.540933,1.674337,257.347459,2.28501,10.0,FALSE POSITIVE,TESS
4.1150576,1.08,487.0,2.30057,10.0,CONFIRMED,TESS
10.0665238,2.4023189,839.9044871,2.7272824,10.0,CONFIRMED,TESS
6.4438657,1.9309449,1121.9512275,2.460344,10.0,CONFIRMED,TESS
12.2265595,2.1904379,1206.3693293,2.6014766,10.0,CONFIRMED,TESS
2.160344,1.828854,19357.992992,22.503541,10.0,CANDIDATE,TESS
4.606184,3.121643,13793.034867,12.962219,10.0,CANDIDATE,TESS
3.1316735,2.4579197,14915.6943722,9.4995191,10.0,CANDIDATE,TESS
3.180362,2.111521,21192.463324,13.446487,10.0,CANDIDATE,TESS
2.9776446,2.962,13022.0,14.4339,10.0,CANDIDATE,TESS
3.9502008,4.444,13914.0,20.5357,10.0,CANDIDATE,TESS
2.9776152,3.25697,43218.111683,26.88423,10.0,FALSE POSITIVE,TESS
3.5544026,2.0550535,10164.8753396,13.200677,10.0,CANDIDATE,TESS
12.8379689,9.8464123,10539.0192794,25.4886382,10.0,FALSE POSITIVE,TESS
3.9228016,1.8736007,31510.9004906,13.3368705,10.0,CONFIRMED,TESS
13.9428705,3.7522756,1015.395543,2.4233421,10.0,CONFIRMED,TESS
0.6047392,1.0403847,1027.6833479,1.8625587,10.0,CONFIRMED,TESS
2.5495611,2.6173308,14921.4021936,12.9171288,10.0,CANDIDATE,TESS
1.6062693,1.9561305,16725.3019333,12.6436029,10.0,CONFIRMED,TESS
0.5182425,0.8565249,831.8920424,1.3485121,10.0,CONFIRMED,TESS
3.1644075,2.0576293,5603.4635466,14.8814743,10.0,CONFIRMED,TESS
3.0440541,2.5984575,22236.0165376,12.1086799,10.0,CANDIDATE,TESS
3.9652485,1.0112593,3680.7544436,1.2305102,10.0,CONFIRMED,TESS
2.98278,3.109528,6136.231662,11.467011,10.0,CONFIRMED,TESS
16.3469053,3.5865698,2212.4257252,3.5059571,10.0,CONFIRMED,TESS
12.9802953,2.5034417,2407.2608671,2.4241912,10.0,CONFIRMED,TESS
1.3484961,2.4074261,18463.7636682,15.8824638,10.0,CANDIDATE,TESS
3.2541181,4.341,13620.0,14.9476,10.0,CANDIDATE,TESS
3.7178828,5.5277827,4864.8405125,14.6986197,10.0,CONFIRMED,TESS
9.30992,3.464,2220.0,14.2968,10.0,FALSE POSITIVE,TESS
4.73703,3.902,2410.0,25.7144,10.0,FALSE POSITIVE,TESS
2.76676,2.6872178,14947.4387827,12.2867389,10.0,CANDIDATE,TESS
2.19296,4.586,4933.74,22.7769,10.0,FALSE POSITIVE,TESS
1.725841,3.674,2710.0,15.0024,10.0,CONFIRMED,TESS
1.1923,3.119,3730.0,30.666,10.0,FALSE POSITIVE,TESS
0.5971314,0.468,910.0,9.08382,10.0,CANDIDATE,TESS
1.4821386,2.1867078,2102.6568299,13.7339261,10.0,CONFIRMED,TESS
0.9209526,1.8602735,360.8801529,5.7349089,10.0,FALSE POSITIVE,TESS
9.188506,2.492,460.0,2.16591,10.0,CONFIRMED,TESS
13.9028391,2.1264429,647.2701039,2.6136848,10.0,CONFIRMED,TESS
10.1826983,2.8275109,667.4752458,3.0538057,10.0,CONFIRMED,TESS
6.441006,1.812,914.0,2.56374,10.0,CONFIRMED,TESS
3.1743504,2.751086,15457.3247576,14.9172256,10.0,CANDIDATE,TESS
20.0731588,3.8449215,1152.9645461,4.0506906,10.0,FALSE POSITIVE,TESS
2.66903,1.548,3110.0,9.36823,10.0,FALSE POSITIVE,TESS
6.63371,2.122,1555.34,2.75375,10.0,FALSE POSITIVE,TESS
2.94308,4.073,4490.0,45.3525,10.0,CONFIRMED,TESS
341.2811281,6.303026,972.5797241,4.7531892,10.0,FALSE POSITIVE,TESS
10.8680523,2.375,1553.0,2.90726,10.0,CONFIRMED,TESS
11.1149,2.26,900.0,14.7645,10.0,CONFIRMED,TESS
4.0782392,4.8475616,6046.6959687,13.898174,10.0,CONFIRMED,TESS
7.14386,1.467,11146.4,22.1531,10.0,FALSE POSITIVE,TESS
7.04083,2.979,1580.0,8.46404,10.0,FALSE POSITIVE,TESS
2.1061569,1.4688934,12142.2238514,13.086872,10.0,CANDIDATE,TESS
2.4545635,2.321,4248.0,11.1276,10.0,FALSE POSITIVE,TESS
11.4756978,0.808,8341.0,14.1098,10.0,FALSE POSITIVE,TESS
2.78186,2.456,490.0,4.92567,10.0,FALSE POSITIVE,TESS
6.4410082,1.798,7076.0,4.59203,10.0,FALSE POSITIVE,TESS
4.45199,2.109,8483.38,15.8858,10.0,CANDIDATE,TESS
5.0100708,2.0644756,409.4812214,2.3107394,10.0,CONFIRMED,TESS
2.2281625,2.015,630.0,2.56778,10.0,CONFIRMED,TESS
10.95663,3.588,3830.0,23.9726,10.0,CANDIDATE,TESS
2.4997996,2.865171,14621.2059647,13.8516093,10.0,CANDIDATE,TESS
1.66226,3.321,6030.0,13.3343,10.0,FALSE POSITIVE,TESS
3.6245513,3.042,1299.0,4.3503,10.0,FALSE POSITIVE,TESS
1.20928,1.886,11883.8,15.1764,10.0,CANDIDATE,TESS
3.5187707,2.408,5634.0,14.0061,10.0,CANDIDATE,TESS
0.7724825,1.3744974,211.3168519,4.1624907,10.0,CONFIRMED,TESS
1.6268695,3.231,1502.0,2.36498,10.0,FALSE POSITIVE,TESS
13.5499,1.795,1180.0,6.24633,10.0,FALSE POSITIVE,TESS
4.43651,3.365,1520.0,19.9664,10.0,FALSE POSITIVE,TESS
3.372877,2.63426,17163.60419,14.201803,10.0,CANDIDATE,TESS
8.34998,1.836,16680.0,11.1424,10.0,CONFIRMED,TESS
4.0686405,1.8373729,2650.0950013,3.7548333,10.0,CONFIRMED,TESS
0.5860366,0.8098934,410.5241553,4.906408,10.0,CONFIRMED,TESS
